url,dir
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ola-electrofold-efb4-katlanabilir-fiyati,697761277.html",0
"https://www.akakce.com/glukozamin/en-ucuz-osteo-bi-flex-advanced-triple-strength-120-tablet-fiyati,402410676.html",1
"https://www.akakce.com/kagit-havlu/en-ucuz-familia-plus-3-katli-12-rulo-fiyati,720482240.html",2
"https://www.akakce.com/kedi-mamasi/en-ucuz-pro-plan-elegant-derma-hassas-deri-somonlu-10-kg-yetiskin-kuru-fiyati,566727162.html",3
"https://www.akakce.com/gunes-gozlugu/en-ucuz-ray-ban-4179-unisex-fiyati,277756656.html",4
"https://www.akakce.com/tablet/en-ucuz-ipad-mini-7-nesil-wi-fi-128-gb-8-3-fiyati,798394742.html",5
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-rks-1s-fiyati,305503054.html",6
"https://www.akakce.com/spor-ayakkabi/en-ucuz-new-balance-408-unisex-fiyati,370565366.html",7
"https://www.akakce.com/gunes-gozlugu/en-ucuz-persol-steve-mcqueen-po714sm-95-b1-black-dark-grey-erkek-fiyati,875573556.html",8
"https://www.akakce.com/elektrikli-scooter/en-ucuz-segway-ninebot-kickscooter-f2-pro-fiyati,131983292.html",9
"https://www.akakce.com/gunes-gozlugu/en-ucuz-ray-ban-scuderia-ferrari-3703m-f00771-silver-dark-green-erkek-fiyati,969753176.html",10
"https://www.akakce.com/gunes-gozlugu/en-ucuz-ray-ban-rb3016-w0365-51-unisex-fiyati,1643899030.html",11
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-rks-rd8-20-250-w-elektrikli-fiyati,1850182626.html",12
"https://www.akakce.com/elektrikli-scooter/en-ucuz-navee-n65-500w-elektirikli-fiyati,1958594929.html",13
"https://www.akakce.com/elektrikli-bisiklet/en-ucuz-ape-ryder-bonobo-siyah-fiyati,773889973.html",14
"https://www.akakce.com/kol-saati/en-ucuz-seiko-srpe15j-erkek-fiyati,760287908.html",15
"https://www.akakce.com/akilli-saat/en-ucuz-huawei-watch-gt-5-pro-46mm-titanyum-fiyati,769162476.html",16
"https://www.akakce.com/gunes-gozlugu/en-ucuz-ray-ban-4179-unisex-fiyati,277756656.html#/8719/?s=10&v=13275&p=277756656&c=23112&g=960434039&f=%2Fr%2F%3Fpr%3D277756656%26vd%3D13275%26pg%3D960434039",17
"https://www.akakce.com/gunes-gozlugu/en-ucuz-persol-po3315s-96-3r-brown-dark-blue-erkek-fiyati,843387608.html",18
"https://www.akakce.com/gunes-gozlugu/en-ucuz-persol-po3152s-1196s3-transparent-grey-dark-blue-polarize-erkek-fiyati,981695816.html",19
"https://www.akakce.com/elektrikli-scooter/en-ucuz-navee-n65-500w-elektirikli-fiyati,1958594929.html#TumResimler",20
